Carimbo de data/hora,Ja é aluno da INFNET?,Qual seu nivel de formação?,Qual sua renda pessoal?,Quantas pessoas na casa ou dependentes?,Qual sua renda familiar?,Qual sua idade?,Qual seu sexo?,Qual sua área de interesse principal?,Qual sua área de interesse secundaria (Opcional)?,Quanto tempo dedicaria para um curso profissionalizante ?,Como você lida com prazos apertados e pressão?,Qual sua afinidade com tecnologia?,Qual seu nível de matemática na sua opinião ?,Qual seu estilo musical preferido?,Qual dos seguintes cenários você considera mais estimulante?,"Em um filme de ficção científica, o que te fascina mais?",O que te motiva mais em um trabalho?,"Se você pudesse ter superpoder, qual escolheria?","Quando você precisa resolver um problema complexo, qual é a sua primeira ação?"
08/09/2025 19:44:22,Sim,Ensino Superior Completo,De R$ 7.501 a R$ 10.000 (5–7 SM),3,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",38,Femenino,Engenharia de Software,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Muito Bem,Alta,Avançado,"Sertanejo, Samba ou Pagode",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 19:56:01,Não,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,De R$ 7.501 a R$ 10.000 (5–7 SM),23,Femenino,Engenharia de Dados e Inteligência Artificial,Banco de Dados (Engenharia de Dados),4 anos,Bem,Alta,Avançado,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:01:45,Não,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,De R$ 15.001 a R$ 20.000 (10–14 SM),25,Masculino,Engenharia de Dados e Inteligência Artificial,Análise e Desenvolvimento de Sistemas,2 anos e meio,Muito Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:11:36,Não,Ensino Médio + Técnico,De R$ 1.501 a R$ 3.000 (1–2 SM),4,De R$ 7.501 a R$ 10.000 (5–7 SM),21,Masculino,Engenharia de Software,Banco de Dados (Engenharia de Dados),5 anos ou mais,Mal,Alta,Médio,"Funk, Hip-hop ou Rap",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:12:59,Não,Ensino Superior Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),2,De R$ 10.001 a R$ 15.000 (7–10 SM),31,Femenino,Ciência de Dados (e Inteligência Artificial),Engenharia de Software,2 anos e meio,Bem,Média,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A chance de analisar informações e encontrar padrões.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:27:05,Sim,Cursando Ensino Superior,Sem renda,4,Prefiro não informar,19,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,4 anos,Bem,Média,Avançado,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:28:47,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),0,Até R$ 3.000 (até ~2 SM),21,Masculino,Engenharia de Software,Segurança da Informação e Defesa Cibernética,5 anos ou mais,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:31:30,Sim,Ensino Superior Completo,Acima de R$ 20.000 (14+ SM),2,De R$ 20.001 a R$ 30.000 (14–21 SM),41,Masculino,Engenharia de Dados e Inteligência Artificial,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Muito Bem,Alta,Avançado,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:33:33,Sim,Cursando Ensino Superior,Sem renda,3,De R$ 20.001 a R$ 30.000 (14–21 SM),23,Masculino,Análise e Desenvolvimento de Sistemas,Segurança da Informação e Defesa Cibernética,4 anos,Bem,Alta,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:34:53,Sim,Cursando Ensino Superior,Sem renda,2,Até R$ 3.000 (até ~2 SM),30,Masculino,Análise e Desenvolvimento de Sistemas,Análise e Desenvolvimento de Sistemas,2 anos e meio,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Criar um jogo eletrônico divertido e viciante.,A segurança dos sistemas e os códigos de acesso.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:38:29,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),4,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",22,Masculino,Engenharia de Dados e Inteligência Artificial,Ciência de Dados (e Inteligência Artificial),4 anos,Muito Bem,Alta,Médio,"Clássica, Jazz ou Romantica",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:41:15,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,De R$ 10.001 a R$ 15.000 (7–10 SM),25,Femenino,Engenharia de Dados e Inteligência Artificial,Engenharia de Software,2 anos e meio,Bem,Pouca,Iniciante,"Sertanejo, Samba ou Pagode",Proteger dados sensíveis de um vazamento cibernético.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
08/09/2025 20:42:04,Sim,Ensino Superior Completo,Sem renda,2,De R$ 15.001 a R$ 20.000 (10–14 SM),28,Femenino,Análise e Desenvolvimento de Sistemas,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Mal,Alta,Avançado,Rock e Metal,Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 20:43:10,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",4,De R$ 7.501 a R$ 10.000 (5–7 SM),22,Masculino,Marketing Digital,Jogos Digitais,2 anos e meio,Mal,Alta,Médio,"Funk, Hip-hop ou Rap",Proteger dados sensíveis de um vazamento cibernético.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:44:26,Sim,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",2,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",43,Masculino,Engenharia de Computação,Redes de Computadores (Cloud e Segurança),5 anos ou mais,Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 20:46:39,Sim,Ensino Médio + Técnico,Até R$ 1.500 (~até 1 SM),4,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",19,Masculino,Marketing Digital,Engenharia de Dados e Inteligência Artificial,2 anos e meio,Mal,Alta,Médio,"Funk, Hip-hop ou Rap",Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Pensar na solução mais criativa ou que possa ser descrita visualmente
08/09/2025 20:53:59,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,De R$ 10.001 a R$ 15.000 (7–10 SM),31,Masculino,Jogos Digitais,Engenharia de Software,2 anos e meio,Muito Bem,Alta,Avançado,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 21:00:26,Sim,Ensino Superior Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),4,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",22,Femenino,Engenharia de Software,Jogos Digitais,4 anos,Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Proteger dados sensíveis de um vazamento cibernético.,A segurança dos sistemas e os códigos de acesso.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Pensar na solução mais criativa ou que possa ser descrita visualmente
08/09/2025 21:15:07,Sim,Ensino Superior Completo,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",1,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",25,Masculino,Engenharia de Software,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Bem,Alta,Avançado,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,O poder de ficar invisível,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 21:17:29,Não,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),3,De R$ 7.501 a R$ 10.000 (5–7 SM),26,Masculino,Banco de Dados (Engenharia de Dados),,2 anos e meio,Muito Bem,Alta,Avançado,"Funk, Hip-hop ou Rap",Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 21:28:08,Sim,Ensino Superior Completo,De R$ 10.001 a R$ 15.000 (7–10 SM),0,Prefiro não informar,37,Femenino,Ciência de Dados (e Inteligência Artificial),Engenharia de Computação,2 anos e meio,Mal,Alta,Avançado,Outros,Proteger dados sensíveis de um vazamento cibernético.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 21:45:40,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",1,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",32,Femenino,Marketing Digital,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Bem,Média,Iniciante,Rock e Metal,Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Pensar na solução mais criativa ou que possa ser descrita visualmente
08/09/2025 21:48:33,Sim,Ensino Superior Completo,De R$ 10.001 a R$ 15.000 (7–10 SM),3,De R$ 15.001 a R$ 20.000 (10–14 SM),36,Masculino,Engenharia de Dados e Inteligência Artificial,Segurança da Informação e Defesa Cibernética,5 anos ou mais,Bem,Alta,Avançado,"Clássica, Jazz ou Romantica",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
08/09/2025 22:27:49,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),4,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",19,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,4 anos,Bem,Alta,Médio,"Funk, Hip-hop ou Rap",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
08/09/2025 22:34:38,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),3,De R$ 10.001 a R$ 15.000 (7–10 SM),20,Masculino,Segurança da Informação e Defesa Cibernética,Análise e Desenvolvimento de Sistemas,2 anos e meio,Mal,Alta,Médio,Rock e Metal,Proteger dados sensíveis de um vazamento cibernético.,A segurança dos sistemas e os códigos de acesso.,A responsabilidade de manter a estabilidade e segurança.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 00:11:10,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),3,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",25,Femenino,Marketing Digital,,2 anos e meio,Mal,Média,Avançado,Outros,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 05:37:41,Sim,Cursando Ensino Superior,Sem renda,3,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",20,Femenino,Engenharia de Software,Engenharia de Computação,5 anos ou mais,Mal,Média,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Buscar ferramentas e tecnologias que possam automatizar a solução.
09/09/2025 05:45:09,Sim,Ensino Superior Completo,De R$ 10.001 a R$ 15.000 (7–10 SM),3,De R$ 15.001 a R$ 20.000 (10–14 SM),45,Masculino,Ciência de Dados (e Inteligência Artificial),Engenharia de Software,4 anos,Bem,Alta,Médio,Outros,Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,As tecnologias usadas para se comunicar e transferir dados.,A chance de analisar informações e encontrar padrões.,A habilidade de criar objetos e mundos com a mente,Buscar ferramentas e tecnologias que possam automatizar a solução.
09/09/2025 06:26:07,Sim,Cursando Ensino Superior,Até R$ 1.500 (~até 1 SM),2,Até R$ 3.000 (até ~2 SM),20,Masculino,Engenharia de Software,Engenharia de Computação,5 anos ou mais,Bem,Média,Médio,"Clássica, Jazz ou Romantica",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Buscar ferramentas e tecnologias que possam automatizar a solução.
09/09/2025 07:15:51,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",5,Acima de R$ 30.000 (21+ SM),20,Masculino,Engenharia de Dados e Inteligência Artificial,Ciência de Dados (e Inteligência Artificial),5 anos ou mais,Bem,Alta,Avançado,Rock e Metal,Desenvolver uma campanha de anúncios online que atrai milhares de clientes.,A segurança dos sistemas e os códigos de acesso.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 07:20:47,Sim,Ensino Médio Completo,De R$ 1.501 a R$ 3.000 (1–2 SM),2,Até R$ 3.000 (até ~2 SM),20,Masculino,Engenharia de Dados e Inteligência Artificial,Engenharia de Computação,5 anos ou mais,Bem,Média,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 07:50:30,Sim,Ensino Superior Completo,De R$ 7.501 a R$ 10.000 (5–7 SM),4,De R$ 7.501 a R$ 10.000 (5–7 SM),36,Femenino,Segurança da Informação e Defesa Cibernética,Redes de Computadores (Cloud e Segurança),4 anos,Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 08:10:01,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",39,Masculino,Ciência de Dados (e Inteligência Artificial),Banco de Dados (Engenharia de Dados),5 anos ou mais,Bem,Alta,Médio,Rock e Metal,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 08:11:04,Sim,Cursando Ensino Superior,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",4,Prefiro não informar,28,Femenino,Engenharia de Software,Engenharia de Dados e Inteligência Artificial,5 anos ou mais,Bem,Média,Iniciante,"Góspel, Hinos ou Canticos",Proteger dados sensíveis de um vazamento cibernético.,As tecnologias usadas para se comunicar e transferir dados.,A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 08:45:12,Sim,Ensino Superior Completo,De R$ 10.001 a R$ 15.000 (7–10 SM),3,De R$ 20.001 a R$ 30.000 (14–21 SM),46,Masculino,Redes de Computadores (Cloud e Segurança),"Tecnologia da Informação (Infraestrutura, Programação e Dados)",4 anos,Mal,Média,Médio,"Clássica, Jazz ou Romantica",Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 08:45:14,Sim,Cursando Ensino Superior,De R$ 1.501 a R$ 3.000 (1–2 SM),2,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",25,Masculino,Análise e Desenvolvimento de Sistemas,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",2 anos e meio,Bem,Média,Médio,"Funk, Hip-hop ou Rap",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A chance de analisar informações e encontrar padrões.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 10:46:13,Sim,Cursando Ensino Superior,De R$ 10.001 a R$ 15.000 (7–10 SM),1,Acima de R$ 30.000 (21+ SM),27,Femenino,Jogos Digitais,Marketing Digital,2 anos e meio,Mal,Alta,Iniciante,"Sertanejo, Samba ou Pagode",Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Pensar na solução mais criativa ou que possa ser descrita visualmente
09/09/2025 11:28:39,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",1,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",27,Femenino,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",Engenharia de Dados e Inteligência Artificial,2 anos e meio,Muito Bem,Alta,Médio,"Sertanejo, Samba ou Pagode",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 12:01:11,Sim,Cursando Ensino Superior,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",2,De R$ 15.001 a R$ 20.000 (10–14 SM),34,Masculino,Engenharia de Software,,2 anos e meio,Muito Bem,Alta,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 12:47:01,Sim,Cursando Ensino Superior,Sem renda,5,Prefiro não informar,24,Masculino,Engenharia de Software,Engenharia de Software,5 anos ou mais,Muito Mal,Alta,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Quebrar o problema em partes menores e analisar cada uma.
09/09/2025 14:12:15,Sim,Ensino Superior Completo,De R$ 10.001 a R$ 15.000 (7–10 SM),2,De R$ 15.001 a R$ 20.000 (10–14 SM),31,Masculino,Análise e Desenvolvimento de Sistemas,Engenharia de Software,2 anos e meio,Bem,Média,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,As tecnologias usadas para se comunicar e transferir dados.,A possibilidade de construir e ver um produto funcionando.,A capacidade de entender e consertar qualquer coisa,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 14:42:54,Sim,Cursando Ensino Superior,Sem renda,4,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",19,Masculino,Engenharia de Software,Jogos Digitais,5 anos ou mais,Bem,Alta,Médio,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A habilidade de criar objetos e mundos com a mente,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 15:37:36,Sim,Ensino Superior Completo,"De R$ 3.001 a R$ 5.000 (2–3,5 SM)",3,De R$ 7.501 a R$ 10.000 (5–7 SM),26,Masculino,Análise e Desenvolvimento de Sistemas,"Tecnologia da Informação (Infraestrutura, Programação e Dados)",5 anos ou mais,Bem,Média,Médio,"Góspel, Hinos ou Canticos",Construir um robô que resolve problemas do dia a dia.,"O visual, os efeitos especiais e o design dos cenários.",A possibilidade de construir e ver um produto funcionando.,A capacidade de prever o futuro,Coletar o máximo de dados e informações para entender a causa.
09/09/2025 16:25:08,Sim,Cursando Ensino Superior,Sem renda,4,"De R$ 5.001 a R$ 7.500 (3,5–5 SM)",20,"Outros (LGBT, Trans...)",Design Gráfico e Digital ou de Animação,Jogos Digitais,4 anos,Muito Mal,Alta,Iniciante,Rock e Metal,Criar um jogo eletrônico divertido e viciante.,"O visual, os efeitos especiais e o design dos cenários.",A oportunidade de usar a criatividade para inovar.,A capacidade de entender e consertar qualquer coisa,Buscar ferramentas e tecnologias que possam automatizar a solução.
09/09/2025 16:34:43,Sim,Ensino Superior Completo,De R$ 15.001 a R$ 20.000 (10–14 SM),3,De R$ 20.001 a R$ 30.000 (14–21 SM),48,Masculino,Análise e Desenvolvimento de Sistemas,Ciência de Dados (e Inteligência Artificial),2 anos e meio,Bem,Alta,Médio,Outros,Construir um robô que resolve problemas do dia a dia.,A inteligência artificial e os robôs.,A oportunidade de usar a criatividade para inovar.,A capacidade de prever o futuro,Quebrar o problema em partes menores e analisar cada uma.
